date,bigmac_chyusd,bigmac_inrusd,bigmac_jpyusd,bigmac_eurusd
2011-06-30,6.445,44.4,78.365,0.697520315
2011-12-31,6.3155,51.905,76.92,0.788239467
2012-06-30,6.3885,56.165,78.22,0.8248443109999999
2012-12-31,6.2204,53.395,91.065,0.7369468290000001
2013-06-30,6.1341,59.98,100.105,0.777756173
2013-12-31,6.0513,61.845,104.245,0.737218475
2014-06-30,6.1983,60.08875,101.53,0.7427489140000001
2014-12-31,6.2115,61.615,117.765,0.8630734040000001
2015-06-30,6.2092,63.43,123.935,0.9127002240000001
2015-12-31,6.5582,66.8025,118.645,0.9302325579999999
2016-06-30,6.678,67.2,106.725,0.908306463
2016-12-31,6.9266,68.3275,116.665,0.955246692
2017-06-30,6.7875,64.5575,113.06,0.875695083
2017-12-31,6.432,63.86125,110.725,0.816826629
2018-06-30,6.622000000000001,68.825,111.25,0.8532059209999999
2018-12-31,6.8497,69.685,108.44,0.8724861490000001
2019-06-30,6.8846,68.5544,108.765,0.892339267
2019-12-31,6.885,70.87815,110.04,0.899159286
